james@Jamess-MacBook-Pro stevens % python3 manage.py runserver
Watching for file changes with StatReloader
Performing system checks...

System check identified no issues (0 silenced).
October 26, 2024 - 05:24:23
[26/Oct/2024 05:27:14] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:14] "GET /static/favicon.ico HTTP/1.1" 304 0
[26/Oct/2024 05:27:21] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:21] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:21] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:22] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:22] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:22] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:23] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:23] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:23] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:24] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:24] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:24] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:24] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:24] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:24] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:24] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:24] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:24] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:24] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:24] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:25] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:25] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:25] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:25] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:25] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:25] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:25] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:25] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:25] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:25] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:25] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:25] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:26] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:26] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:26] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:26] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:26] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:27] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:27] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:27] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:27] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:27] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:27] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:27] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:27] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:27] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:27] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:27] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:27] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:28] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:28] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:28] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:28] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:28] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:28] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:28] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:28] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:28] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:28] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:28] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:28] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:29] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:29] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:29] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:30] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:30] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:30] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:30] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:30] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:30] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:30] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:30] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:30] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:30] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:30] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:30] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:31] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:31] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:31] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:31] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:31] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:31] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:31] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:31] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:31] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:31] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:32] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:32] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:32] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:32] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:32] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:32] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:32] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:32] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:33] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:33] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:33] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:33] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:27:33] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:28:01] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:28:02] "GET /static/myapp/jquery.min.js HTTP/1.1" 304 0
[26/Oct/2024 05:28:02] "GET /static/myapp/bootstrap.min.css HTTP/1.1" 304 0
[26/Oct/2024 05:28:02] "GET /static/myapp/bootstrap.min.js HTTP/1.1" 304 0
[26/Oct/2024 05:28:02] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:28:02] "GET /static/favicon.ico HTTP/1.1" 304 0
[26/Oct/2024 05:28:02] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:28:02] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:28:02] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:28:02] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:28:02] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:28:03] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:28:03] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:28:03] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:28:03] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:28:03] "GET /favicon.ico HTTP/1.1" 302 0
